Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
establecer_V,2.1667,2.8333,1.5,0.4082,0.4082,0.8367
estación_N,2.3333,1.5,2.6667,0.5164,0.5477,0.8165
hecho_N,2.1667,2.1667,1.6667,0.4082,0.7528,0.8165
mundial_A,2.3333,2.1667,2.5,0.5164,0.9832,0.8367
suelo_N,2.5,2,3,0.5477,0.6325,0
oficina_N,2.2,2,3,0.4472,0.7071,0
ventana_N,2.8,1.6,3,0.4472,0.5477,0
empresa_N,2,2.4,2.6,0,0.8944,0.8944
éxito_N,2.8,2.6,2.8,0.4472,0.5477,0.4472
poseer_V,2.6,2.6,2.8,0.5477,0.5477,0.4472
ley_N,2,2.8,2.8,0,0.4472,0.4472
compañía_N,3,3,3,0,0,0
suceder_V,2.4,2.6,2.8,0.5477,0.8944,0.4472
instante_N,2.4,2,2.8,0.5477,0,0.4472
cubrir_V,2.4,3,2.6,0.5477,0,0.8944
sociedad_N,2.6,2.6,2.8,0.5477,0.5477,0.4472
reír_V,3,3,3,0,0,0
traer_V,2,3,2.8,0,0,0.4472
versión_N,2,2,1.8,0,0,0.8367
lengua_N,2.2,2.8,2.8,0.4472,0.4472,0.4472
uso_N,2,2.6,2.4,0.7071,0.5477,0.8944
cantón_N,2.2,1.8,2.2,0.4472,0.4472,0.8367
entregar_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
comprender_V,2.6667,2.5,2.5,0.5164,0.8367,0.5477
vivo_A,2.5,2.8333,2.6667,0.5477,0.4082,0.5164
territorio_N,2.1667,1.6667,2.8333,0.4082,0.5164,0.4082
luna_N,2.8333,1.6667,3,0.4082,0.5164,0
vuelta_N,2.1667,2.5,2.5,0.4082,0.5477,0.5477
ofrecer_V,2.75,3,2.875,0.7071,0,0.3536
destino_N,2.4,2,2.2,0.5477,1,0.8367
hoja_N,2.4,1.8,3,0.5477,0.4472,0
sombra_N,2.4,1.8,3,0.5477,0.4472,0
diverso_A,2.4,2.2,2.2,0.5477,0.8367,0.8367
base_N,2,2,2.2,0,0,0.8367
público_A,2.4,2.4,2.8,0.8944,0.5477,0.4472
mover_V,2.2,2.8,2.6,0.8367,0.4472,0.5477
libre_A,2.8,2.6,2.2,0.4472,0.5477,1.0954
batalla_N,1.4,2.8,2.8,0.5477,0.4472,0.4472
fondo_N,2,1.6,2.8,0.7071,0.5477,0.4472
acariciar_V,2.8,3,3,0.4472,0,0
millón_N,2,2,2.2,0,0,0.8367
fuego_N,2.8,3,3,0.4472,0,0
flor_N,3,2.2,3,0,0.4472,0
don_N,2.8,2.2,2.6,0.4472,0.8367,0.5477
resultar_V,2,2.4,2,0,0.8944,1
planta_N,3,2.2,3,0,0.4472,0
acuerdo_N,2.4,3,2.6,0.5477,0,0.5477
nombrar_V,2,2.8,2.4,0,0.4472,0.8944
joven_N,2.2,2.2,2.6,0.4472,0.4472,0.5477
crecer_V,2.8,3,2.6,0.4472,0,0.5477
premio_N,2.8,2.4,2.8,0.4472,0.8944,0.4472
componer_V,2.6,3,2.6,0.5477,0,0.5477
viaje_N,2.6,2.8,2.8,0.5477,0.4472,0.4472
modo_N,2,1.8,1.6,0,0.4472,0.5477
sonido_N,2.6,2.4,3,0.5477,0.8944,0
compañero_N,2.6,2.2,2.8,0.5477,0.4472,0.4472
suponer_V,2,2.6,2,0,0.5477,1
desarrollo_N,2.6,3,2.8,0.5477,0,0.4472
menor_A,2,2,2.6,0,0,0.5477
construcción_N,2.4,3,2.6,0.5477,0,0.5477
soler_V,2.2,2.6,2,0.4472,0.5477,0.7071
animal_N,2.8,2.6,2.8,0.4472,0.5477,0.4472
popular_A,2,2.2,2.8,0,0.4472,0.4472
soñar_V,3,2.8,3,0,0.4472,0
fundar_V,2,3,3,0,0,0
volar_V,2.6,3,3,0.5477,0,0
rojo_A,2.6,2,2.8,0.5477,0.7071,0.4472
cargo_N,2.2,2.4,2.8,0.4472,0.5477,0.4472
contener_V,2.2,2.6,2.6,0.4472,0.5477,0.5477
